title,company,salary,link,experience,city
Исследователь,Национальный исследовательский университет Высшая школа экономики,170000 - None RUR,https://hh.ru/vacancy/131624398,От 1 года до 3 лет,Москва
Инженер по тестированию,"Русские базовые информационные технологии, Научно-производственное объединение",80459 - 103448 RUR,https://hh.ru/vacancy/128414210,От 3 до 6 лет,Москва
Middle Python разработчик,amoCRM,None - 200000 RUR,https://hh.ru/vacancy/131585867,От 1 года до 3 лет,Москва
Программист-разработчик (стажер),ФИНАТЕК,120000 - 120000 RUR,https://hh.ru/vacancy/131546554,От 1 года до 3 лет,Москва
Аналитик данных,RUTUBE,Не указана,https://hh.ru/vacancy/131601488,От 3 до 6 лет,Москва
Middle Frontend Developer (Data Visualization),ФГУП ЦРП,Не указана,https://hh.ru/vacancy/131630825,От 3 до 6 лет,Москва
QA manual (backend/frontend/mobile),ФАЙВДЖЕН,120000 - None RUR,https://hh.ru/vacancy/131590650,От 1 года до 3 лет,Москва
"Analyst, Logistics | Аналитик, Логистика",AliExpress,Не указана,https://hh.ru/vacancy/131449130,От 1 года до 3 лет,Москва
Системный аналитик,КВАРТА ВК,Не указана,https://hh.ru/vacancy/131618093,От 1 года до 3 лет,Москва
Начинающий аналитик,Межрегиональное Управление Федерального Казначейства по Централизованной Обработке Данных,60000 - None RUR,https://hh.ru/vacancy/131495004,Нет опыта,Москва
Backend разработчик в Спорт Тех,ВПА Технологии,Не указана,https://hh.ru/vacancy/131485494,От 3 до 6 лет,Москва
"Инженер-программист (Python, C++, C# и пр.)",НПО Алмаз,85000 - None RUR,https://hh.ru/vacancy/131619716,Нет опыта,Москва
Дата аналитик,Помощь интернет магазинам,220000 - 250000 RUR,https://hh.ru/vacancy/130917575,От 1 года до 3 лет,Москва
Исследователь алгоритмов машинного обучения Data Scientist / ML Researcher,Еврокаппа,Не указана,https://hh.ru/vacancy/131547222,Нет опыта,Москва
Python-разработчик в команду высокоточных цифровых дорожных карт,Navio,Не указана,https://hh.ru/vacancy/131274051,От 3 до 6 лет,Москва
Middle Python Developer,АО НТЦ Атлас,Не указана,https://hh.ru/vacancy/131570191,От 1 года до 3 лет,Москва
Аналитик данных,X5 Tech,Не указана,https://hh.ru/vacancy/131508098,От 1 года до 3 лет,Москва
Начинающий тестировщик,Межрегиональное Управление Федерального Казначейства по Централизованной Обработке Данных,60000 - 60000 RUR,https://hh.ru/vacancy/131478848,Нет опыта,Москва
QA manual (backend),ФАЙВДЖЕН,120000 - None RUR,https://hh.ru/vacancy/131537534,От 1 года до 3 лет,Москва
Frontend-разработчик (Vue.js),RDP.RU,Не указана,https://hh.ru/vacancy/131168324,От 1 года до 3 лет,Москва
Разработчик Python (middle),КомСтрой,240000 - 280000 RUR,https://hh.ru/vacancy/130296668,От 3 до 6 лет,Москва
MlOps инженер,DM Solutions,Не указана,https://hh.ru/vacancy/131037164,От 3 до 6 лет,Москва
Разработчик Python backend developer fullstack,Группа AURORA,Не указана,https://hh.ru/vacancy/131506622,От 1 года до 3 лет,Москва
Аналитик данных / Data Analyst (Jun+ / Middle+),target ai,Не указана,https://hh.ru/vacancy/131620064,От 1 года до 3 лет,Москва
Python-разработчик (Junior),Поколение,80000 - None RUR,https://hh.ru/vacancy/131451573,Нет опыта,Москва
Аналитик данных / BI Аналитик,llesteva.pro,100000 - None RUR,https://hh.ru/vacancy/131492790,От 1 года до 3 лет,Москва
Software Architect,EYES OF WONDER SOFTWARE LLC,500000 - None RUR,https://hh.ru/vacancy/131605829,Более 6 лет,Москва
Data Engineer,Автономные Технологии,Не указана,https://hh.ru/vacancy/131615223,От 1 года до 3 лет,Москва
Python-разработчик (Junior+/Middle),ПРОДЖЕКТ САППОРТ,Не указана,https://hh.ru/vacancy/131585753,От 1 года до 3 лет,Москва
Картограф / ГИС-специалист / специалист по работе с пространственными данными,Whoosh (ООО Вуш),Не указана,https://hh.ru/vacancy/131621027,От 1 года до 3 лет,Москва
Аналитик данных (SQL),Чеки из Аптеки,70000 - 80000 RUR,https://hh.ru/vacancy/130971766,Нет опыта,Москва
Fullstack-разработчик,ЭНТЕР Констракшн,200000 - 250000 RUR,https://hh.ru/vacancy/131616625,От 1 года до 3 лет,Москва
3D художник,Группа компаний «Триумф»,100000 - 140000 RUR,https://hh.ru/vacancy/131580742,От 1 года до 3 лет,Москва
Fullstack-разработчик,Million Miles,120000 - 150000 RUR,https://hh.ru/vacancy/131591089,От 3 до 6 лет,Москва
Системный аналитик,Синтерис,None - 350000 RUR,https://hh.ru/vacancy/131481535,Более 6 лет,Москва
Python-разработчик (Web Automation / Anti-detect),Брисмани,150000 - 350000 RUR,https://hh.ru/vacancy/131602174,От 3 до 6 лет,Москва
Backend-разработчик,Holo.group,Не указана,https://hh.ru/vacancy/131612554,От 3 до 6 лет,Москва
Python-разработчик,World Class,Не указана,https://hh.ru/vacancy/131471919,От 3 до 6 лет,Москва
Middle QA,Restaurant Guru,1300 - 1600 USD,https://hh.ru/vacancy/131566044,От 3 до 6 лет,Москва
Data Scientist//Data Analyst,Ренессанс Банк,Не указана,https://hh.ru/vacancy/131623533,От 1 года до 3 лет,Москва
BI-аналитик ( в офис),ГофроМир,None - 126000 RUR,https://hh.ru/vacancy/131124689,От 1 года до 3 лет,Москва
Ассистент психолога,Октопустех,None - 50000 RUR,https://hh.ru/vacancy/131211990,Нет опыта,Москва
Бизнес аналитик,GreenCore,290000 - 310000 RUR,https://hh.ru/vacancy/131552116,От 3 до 6 лет,Москва
Технический специалист / Вайб-кодер,UpSound,Не указана,https://hh.ru/vacancy/131011677,От 1 года до 3 лет,Москва
VibeCoder / AI-разработчик,SiteMaster LTD,Не указана,https://hh.ru/vacancy/131515115,От 1 года до 3 лет,Москва
Младший аналитик данных (Junior Data Analyst),Панина Анастасия Александровна,80000 - None RUR,https://hh.ru/vacancy/131484415,Нет опыта,Москва
Вайб-кодер,Рекламное агентство Client4Business,30000 - 50000 RUR,https://hh.ru/vacancy/131620908,От 1 года до 3 лет,Москва
Бэкенд программист (Middle),Цифровая добыча,200000 - 270000 RUR,https://hh.ru/vacancy/131179429,От 3 до 6 лет,Москва
Python-разработчик,ИЦ АЙ-ТЕКО,Не указана,https://hh.ru/vacancy/131574572,От 1 года до 3 лет,Москва
Middle Python developer,Платежное Решение,Не указана,https://hh.ru/vacancy/130886574,От 3 до 6 лет,Москва
Бизнес/Системный аналитик (Fullstack),Ростелеком Информационные Технологии,Не указана,https://hh.ru/vacancy/131602221,От 3 до 6 лет,Москва
Python Django developer,Absolut POS,150000 - 300000 RUR,https://hh.ru/vacancy/131532341,От 3 до 6 лет,Москва
Веб-разработчик,Научно-Производственное Объединение Кайсант,Не указана,https://hh.ru/vacancy/131483387,От 3 до 6 лет,Москва
Инженер по тестированию,Avanpost,None - 180000 RUR,https://hh.ru/vacancy/131464280,От 1 года до 3 лет,Москва
Аналитик,Глав Денталь,60000 - 60000 RUR,https://hh.ru/vacancy/131369026,От 1 года до 3 лет,Москва
"Middle Backend-разработчик (AI-агенты, API, MCP) Python (FastAPI, aiohttp, asyncio) / Go",Банк ПСБ,Не указана,https://hh.ru/vacancy/131623646,От 1 года до 3 лет,Москва
ГИС-специалист,ФГБУ Россельхозземмониторинг,140000 - None RUR,https://hh.ru/vacancy/130995781,От 1 года до 3 лет,Москва
Руководитель проектов по автоматизации бизнес-процессов,YAKHA,Не указана,https://hh.ru/vacancy/131610120,Более 6 лет,Москва
Технический директор (CTO),Ключевые ИТ Решения,Не указана,https://hh.ru/vacancy/131623245,Более 6 лет,Москва
Python разработчик Senior в Fintech,МКК Луна,Не указана,https://hh.ru/vacancy/131522285,От 3 до 6 лет,Москва
Инженер по тестированию (QA Engineer),Платформа Третье Мнение,Не указана,https://hh.ru/vacancy/131175009,От 3 до 6 лет,Москва
Аналитик,Мориц,Не указана,https://hh.ru/vacancy/131624523,От 1 года до 3 лет,Москва
Аналитик баз данных/ SQL аналитик,РОМИР,Не указана,https://hh.ru/vacancy/131579121,От 3 до 6 лет,Москва
Системный аналитик,Алиасофт,Не указана,https://hh.ru/vacancy/131139565,От 1 года до 3 лет,Москва
Ведущий программист Python (внутренняя разработка),Postgres Professional,Не указана,https://hh.ru/vacancy/131466486,Более 6 лет,Москва
Python-разработчик,Лига Цифровой Экономики,Не указана,https://hh.ru/vacancy/131608971,От 3 до 6 лет,Москва
DevOps-инженер,Моринтех,Не указана,https://hh.ru/vacancy/131516484,От 3 до 6 лет,Москва
Программист,Рентген-Комплект,170000 - None RUR,https://hh.ru/vacancy/131496973,От 1 года до 3 лет,Москва
Младший аналитик,Mediascope,Не указана,https://hh.ru/vacancy/131494829,От 1 года до 3 лет,Москва
Специалист группы мониторинга,Voximplant,Не указана,https://hh.ru/vacancy/131625378,От 1 года до 3 лет,Москва
Python-разработчик,НПП МетаСофт Про,90000 - 110000 RUR,https://hh.ru/vacancy/131125665,Нет опыта,Москва
Python-разработчик (финтех),Sette,180000 - 220000 RUR,https://hh.ru/vacancy/131397390,От 3 до 6 лет,Москва
Python backend разработчик,OSMI IT,120000 - None RUR,https://hh.ru/vacancy/131483711,От 3 до 6 лет,Москва
Системный аналитик (Senior),letitgo.agency,Не указана,https://hh.ru/vacancy/131452878,От 3 до 6 лет,Москва
QA Engineer (middle),Клируэй Текнолоджис,130000 - 180000 RUR,https://hh.ru/vacancy/131239899,От 3 до 6 лет,Москва
Инженер по автоматизации на Питон,Перфоманс Лаб,Не указана,https://hh.ru/vacancy/130966093,От 1 года до 3 лет,Москва
QA Manual​​​​​​​ (сети),ТехАргос,Не указана,https://hh.ru/vacancy/131481276,От 3 до 6 лет,Москва
Tech Lead/Руководитель направления разработки,Xello,Не указана,https://hh.ru/vacancy/131592998,Более 6 лет,Москва
Head of QA,Peaky Hunters,2500 - None USD,https://hh.ru/vacancy/131356227,От 3 до 6 лет,Москва
Старший тестировщик,101 работа,None - 100000 RUR,https://hh.ru/vacancy/131546538,От 1 года до 3 лет,Москва
Senior Project manager,Marfatech,Не указана,https://hh.ru/vacancy/131577302,Более 6 лет,Москва
Backend‑разработчик Python/Django (middle/middle+),ProOrder,300000 - 350000 RUR,https://hh.ru/vacancy/131632070,Более 6 лет,Москва
DevOps-инженер,МСН Телеком,150000 - 250000 RUR,https://hh.ru/vacancy/131485297,От 1 года до 3 лет,Москва
"Backend разработчик (Golang, Python)",EYES OF WONDER SOFTWARE LLC,Не указана,https://hh.ru/vacancy/130974341,От 3 до 6 лет,Москва
"Разработчик (Python / Go): сбор данных с цифровых полок (площадки, маркетплейсы)",24 ТТЛ,Не указана,https://hh.ru/vacancy/131537944,От 3 до 6 лет,Москва
Data аналитик,Велесстрой,240000 - 270000 RUR,https://hh.ru/vacancy/131535430,От 1 года до 3 лет,Москва
Backend Developer (Teleoperation),ТехВилл,Не указана,https://hh.ru/vacancy/131480090,От 3 до 6 лет,Москва
Инженер по автоматизированному тестированию,World Class,Не указана,https://hh.ru/vacancy/131505537,Более 6 лет,Москва
AI инженер,FIRST DATA LLC,Не указана,https://hh.ru/vacancy/131461402,От 1 года до 3 лет,Москва
Middle QA Engineer,Hunt Expert,Не указана,https://hh.ru/vacancy/131341446,От 1 года до 3 лет,Москва
Data Scientist в команду Посуточно,Циан,Не указана,https://hh.ru/vacancy/131607525,От 3 до 6 лет,Москва
Python-разработчик,Сбер Бизнес Софт,Не указана,https://hh.ru/vacancy/131337983,От 3 до 6 лет,Москва
Инженер по тестированию (Python) (Банк),ФИНАМ,Не указана,https://hh.ru/vacancy/130915998,От 3 до 6 лет,Москва
Системный администратор,Тетрон,130000 - None RUR,https://hh.ru/vacancy/131532871,От 1 года до 3 лет,Москва
Младший инженер по информационной безопасности,Инфосистемы Джет,Не указана,https://hh.ru/vacancy/131459111,Нет опыта,Москва
QA-специалист,НТЦ ИТ РОСА,Не указана,https://hh.ru/vacancy/130008290,От 1 года до 3 лет,Москва
Middle / Middle+ QA Engineer (Backend + Web),MIXIT,Не указана,https://hh.ru/vacancy/131514251,От 3 до 6 лет,Москва
Бизнес-аналитик,X5 Digital,Не указана,https://hh.ru/vacancy/131544895,От 3 до 6 лет,Москва
Инженер по инфраструктуре,ЛИАН,240000 - 280000 RUR,https://hh.ru/vacancy/131617337,Более 6 лет,Москва
Java developer,Voximplant,Не указана,https://hh.ru/vacancy/131180917,От 3 до 6 лет,Москва
Python-разработчик (Рубэкап),Группа компаний Астра,Не указана,https://hh.ru/vacancy/131218703,От 1 года до 3 лет,Москва
"Backend-разработчик (C++, Python, Java, Kotlin, Go)",Яндекс,Не указана,https://hh.ru/vacancy/131244177,От 3 до 6 лет,Москва
Junior Backend разработчик,Your CodeReview,80000 - None RUR,https://hh.ru/vacancy/131352140,Нет опыта,Москва
Middle Python разработчик,БЮРО 1440,Не указана,https://hh.ru/vacancy/131519897,От 1 года до 3 лет,Москва
Тестировщик Lead,РУССМАРКЕТ,Не указана,https://hh.ru/vacancy/131541178,От 1 года до 3 лет,Москва
Middle QA Engineer,Новые Телеком Решения (НТР),150000 - None RUR,https://hh.ru/vacancy/131007637,От 3 до 6 лет,Москва
Backend-developer (Python),Workmate,70000 - None RUR,https://hh.ru/vacancy/131039655,Нет опыта,Москва
Junior Разработчик ML (Python),IBS,Не указана,https://hh.ru/vacancy/131435286,Нет опыта,Москва
Python/AI разработчик,Инсейлс Рус,Не указана,https://hh.ru/vacancy/131587928,От 3 до 6 лет,Москва
Вайб-кодер,Домклик,Не указана,https://hh.ru/vacancy/131038521,От 1 года до 3 лет,Москва
DevOps Engineer,Бринго,4500 - 6500 USD,https://hh.ru/vacancy/131482035,Более 6 лет,Москва
Ведущий тестировщик,101 Интернет,None - 100000 RUR,https://hh.ru/vacancy/131513114,От 1 года до 3 лет,Москва
Senior разработчик на Python,ЛОГИИКА,Не указана,https://hh.ru/vacancy/131521453,Более 6 лет,Москва
Тестировщик,FIX PRICE,Не указана,https://hh.ru/vacancy/131454575,От 1 года до 3 лет,Москва
Инженер-тестировщик,"ЭВРИКА, Санкт-Петербург",Не указана,https://hh.ru/vacancy/80675242,От 1 года до 3 лет,Москва
QA Fullstack,РостДжоб,113000 - 114000 RUR,https://hh.ru/vacancy/131188623,От 1 года до 3 лет,Москва
Project manager,Innovative People,Не указана,https://hh.ru/vacancy/131351610,От 1 года до 3 лет,Москва
Python Developer – Data & Trading Strategies (Quant Developer)/ресечер-инвестиции,Quanthill,Не указана,https://hh.ru/vacancy/131316748,От 1 года до 3 лет,Москва
Разработчик python,Дивергент,Не указана,https://hh.ru/vacancy/131238531,От 1 года до 3 лет,Москва
"Аналитик продукта / системный аналитик (e-commerce, маркетплейсы)",Omni Sale,120000 - None RUR,https://hh.ru/vacancy/131470903,От 1 года до 3 лет,Москва
Middle QA инженер,Поток.Диджитал,150000 - 250000 RUR,https://hh.ru/vacancy/130925281,От 3 до 6 лет,Москва
Python-разработчик в юнит Строители,KTS,Не указана,https://hh.ru/vacancy/131476479,От 3 до 6 лет,Москва
DevOps в онлайн-кинотеатр,Твоё Лайв,150000 - 180000 RUR,https://hh.ru/vacancy/131397319,От 1 года до 3 лет,Москва
Системный аналитик,DZ Systems,Не указана,https://hh.ru/vacancy/131130237,От 3 до 6 лет,Москва
Python-разработчик (FastAPI),Т8,Не указана,https://hh.ru/vacancy/131429981,От 3 до 6 лет,Москва
Python-разработчик (Middle/Senior),Инконсалт,1200 - None RUR,https://hh.ru/vacancy/131547908,От 3 до 6 лет,Москва
"Фуллстэк разработчик (Next.js, Node.js, ИИ)",Пруфикс,130000 - 130000 RUR,https://hh.ru/vacancy/131430371,От 1 года до 3 лет,Москва
Стажер отдела финансового анализа,ТРАНСКАПИТАЛБАНК,Не указана,https://hh.ru/vacancy/131623696,Нет опыта,Москва
Младший риск-аналитик,Paylate,None - 130000 RUR,https://hh.ru/vacancy/131600789,Нет опыта,Москва
Тестировщик/QA-инженер (менеджер качества) middle,АФЛТ-Системс,Не указана,https://hh.ru/vacancy/131182329,От 3 до 6 лет,Москва
Инженер по тестированию / QA engineer (Виртуализация),ГК «МТ-Интеграция»,Не указана,https://hh.ru/vacancy/130868222,От 3 до 6 лет,Москва
Аналитик,Sunlight,Не указана,https://hh.ru/vacancy/131497899,От 1 года до 3 лет,Москва
Middle Python-разработчик,Spice IT,Не указана,https://hh.ru/vacancy/131238220,От 3 до 6 лет,Москва
QA Engineer Middle,Employcity,Не указана,https://hh.ru/vacancy/131423284,От 3 до 6 лет,Москва
Видеоинженер Кинопоиск,Яндекс Команда для бизнеса,81000 - None RUR,https://hh.ru/vacancy/131500916,От 1 года до 3 лет,Москва
Junior AI разработчик,"585, Холдинг",Не указана,https://hh.ru/vacancy/131516497,Нет опыта,Москва
Python разработчик,aQsi,Не указана,https://hh.ru/vacancy/131207121,От 3 до 6 лет,Москва
BI-аналитик,Стрит Фалькон,Не указана,https://hh.ru/vacancy/131472596,От 1 года до 3 лет,Москва
Инженер технической поддержки и ПНР,Атлас,180000 - None RUR,https://hh.ru/vacancy/131498248,От 3 до 6 лет,Москва
Тестировщик десктопного приложения (Junior/Junior+),VR Concept,60000 - 90000 RUR,https://hh.ru/vacancy/130921328,От 1 года до 3 лет,Москва
Тестировщик QA,TIQUM,Не указана,https://hh.ru/vacancy/131040259,От 3 до 6 лет,Москва
Ведущий программист,Моринтех,Не указана,https://hh.ru/vacancy/131357735,От 3 до 6 лет,Москва
Middle Product Analyst / Продуктовый аналитик,Ситидрайв,Не указана,https://hh.ru/vacancy/131543065,От 1 года до 3 лет,Москва
Тестировщик,Online Reservation System,90000 - 130000 RUR,https://hh.ru/vacancy/131406865,От 3 до 6 лет,Москва
Senior разработчик Python/Django,Тх Решения,300000 - None RUR,https://hh.ru/vacancy/131563463,Более 6 лет,Москва
"Technical Project manager (в Бильбао, Испания)",Artificial Seed,Не указана,https://hh.ru/vacancy/131577661,От 3 до 6 лет,Москва
Системный аналитик,YLAB Development,250000 - 350000 RUR,https://hh.ru/vacancy/130808142,От 3 до 6 лет,Москва
AI-инженер / программист,Energy Craft,Не указана,https://hh.ru/vacancy/131432032,От 3 до 6 лет,Москва
Аналитик отдела лицензирования,Звук,Не указана,https://hh.ru/vacancy/131294377,От 1 года до 3 лет,Москва
Системный аналитик,USETECH,Не указана,https://hh.ru/vacancy/131468599,От 3 до 6 лет,Москва
Аналитик BI,ТЕЛОДВИЖЕНИЯ,Не указана,https://hh.ru/vacancy/131551916,От 1 года до 3 лет,Москва
Аналитик данных в VK,VK,Не указана,https://hh.ru/vacancy/131570916,От 3 до 6 лет,Москва
Младший бизнес-аналитик,YADRO,Не указана,https://hh.ru/vacancy/131580609,От 1 года до 3 лет,Москва
Специалист технической поддержки L2-L3,Брайтис,Не указана,https://hh.ru/vacancy/131468420,От 1 года до 3 лет,Москва
Маркетинговый аналитик,Рокетбанк,Не указана,https://hh.ru/vacancy/131512281,От 3 до 6 лет,Москва
ML инженер / AI инженер,Русский Экспресс,Не указана,https://hh.ru/vacancy/131590057,От 3 до 6 лет,Москва
Старший системный инженер / инженер технической поддержки,Береста РК,250000 - 450000 RUR,https://hh.ru/vacancy/130962033,От 1 года до 3 лет,Москва
Python-разработчик,МЕТАШАРКС,Не указана,https://hh.ru/vacancy/131175645,От 1 года до 3 лет,Москва
ML-инженер,Staffberry,Не указана,https://hh.ru/vacancy/131567256,От 3 до 6 лет,Москва
Testing Engineer Fullstack (KARMA),Лаборатория Касперского,Не указана,https://hh.ru/vacancy/131607032,От 3 до 6 лет,Москва
Middle DevOps Engineer,ЛОКО-БАНК,Не указана,https://hh.ru/vacancy/131603243,От 3 до 6 лет,Москва
Python-разработчик,ИЦ АЙ-ТЕКО,None - 160000 RUR,https://hh.ru/vacancy/131572604,От 1 года до 3 лет,Москва
Data Scientist (NLP / LLM),Р-Вижн,Не указана,https://hh.ru/vacancy/131458592,От 1 года до 3 лет,Москва
Product Manager в направление авиа (ассортимент),Туту,Не указана,https://hh.ru/vacancy/131601756,От 3 до 6 лет,Москва
Инженер-программист,ВР-Ресурс,165000 - None RUR,https://hh.ru/vacancy/131607814,От 3 до 6 лет,Москва
Java-разработчик,РТК-СОФТ,Не указана,https://hh.ru/vacancy/130939460,От 3 до 6 лет,Москва
QA-инженер,Крибрум,200000 - 250000 RUR,https://hh.ru/vacancy/131035320,От 3 до 6 лет,Москва
Тестировщик,Московский метрополитен,Не указана,https://hh.ru/vacancy/131496528,От 1 года до 3 лет,Москва
Ведущий специалист по тестированию,Моринтех,Не указана,https://hh.ru/vacancy/131396846,От 1 года до 3 лет,Москва
SRE-инженер / DevOPS,Travelmart,300000 - None RUR,https://hh.ru/vacancy/131499742,От 3 до 6 лет,Москва
Java разработчик AppSec Registry (senior),Swordfish Security,Не указана,https://hh.ru/vacancy/131599948,Более 6 лет,Москва
Project Manager (FinTech) / Руководитель проектов в финтех-сфере,Топассистент,470000 - None RUR,https://hh.ru/vacancy/131499792,От 3 до 6 лет,Москва
React разработчик,ДЮК Технологии,Не указана,https://hh.ru/vacancy/131030220,От 1 года до 3 лет,Москва
Middle/Middle+ QA Engineer,Xello,Не указана,https://hh.ru/vacancy/131202801,От 1 года до 3 лет,Москва
"Сетевой инженер (Linux, VPN, высокие нагрузки)",Президент Сервис Консалт,2000 - None USD,https://hh.ru/vacancy/131518748,От 1 года до 3 лет,Москва
Python Backend разработчик (Middle/Middle+),СБК Парус,Не указана,https://hh.ru/vacancy/131013138,От 1 года до 3 лет,Москва
TeamLead,GRI,Не указана,https://hh.ru/vacancy/131618496,От 3 до 6 лет,Москва
Junior Python-разработчик проект STACK,SberTech,Не указана,https://hh.ru/vacancy/131571243,От 1 года до 3 лет,Москва
Python developer,Lofty.,Не указана,https://hh.ru/vacancy/131273496,От 3 до 6 лет,Москва
Системный аналитик,Иттех,120000 - 130000 RUR,https://hh.ru/vacancy/131440233,От 3 до 6 лет,Москва
Go Developer,Киберпротект,Не указана,https://hh.ru/vacancy/131271884,От 3 до 6 лет,Москва
"Программист-разработчик (Linux, Python, PostgreSQL)",Спец-ЭК,Не указана,https://hh.ru/vacancy/131412175,От 3 до 6 лет,Москва
ML Engineer,Aviasales.ru,Не указана,https://hh.ru/vacancy/131564351,От 3 до 6 лет,Москва
Стажер Data-аналитик,T2,Не указана,https://hh.ru/vacancy/130925618,Нет опыта,Москва
Backend-разработчик (Python / n8n / Автоматизация данных),BusinesStat,80000 - 160000 RUR,https://hh.ru/vacancy/130939025,От 1 года до 3 лет,Москва
QA-инженер,Песко Энергия и Ресурсы,Не указана,https://hh.ru/vacancy/131315733,От 3 до 6 лет,Москва
Главный специалист в отдел тестирования систем страхового учета,Страховая группа МАКС,None - 135000 RUR,https://hh.ru/vacancy/131453453,От 1 года до 3 лет,Москва
Дежурный Linux администратор в команду K2 Cloud,K2 Тех,Не указана,https://hh.ru/vacancy/131583344,От 1 года до 3 лет,Москва
QA lead,Softline,Не указана,https://hh.ru/vacancy/131498138,От 3 до 6 лет,Москва
"Инженер по автоматизации (n8n, API, ИИ) / EdTech Интегратор",Интеллект здоровья,150000 - None RUR,https://hh.ru/vacancy/131463047,От 1 года до 3 лет,Москва
Младший ML-инженер (Data Scientist),ОптималФлоу Групп,Не указана,https://hh.ru/vacancy/131013851,Нет опыта,Москва
Data Engineer (Аналитический центр транзакционного бизнеса),Россельхозбанк,Не указана,https://hh.ru/vacancy/131601781,От 1 года до 3 лет,Москва
Python Developer (AI),LionAdverts,2500 - None USD,https://hh.ru/vacancy/131057671,От 3 до 6 лет,Москва
Специалист по тестированию (QA),АВ Софт,100000 - 140000 RUR,https://hh.ru/vacancy/131318187,От 1 года до 3 лет,Москва
Разработчик BI/Data Engineer,S3,Не указана,https://hh.ru/vacancy/131500303,Более 6 лет,Москва
DevOps-Engineer Junior + / Middle,SWiP,110000 - None RUR,https://hh.ru/vacancy/131303601,От 1 года до 3 лет,Москва
Младший разработчик,"АТОЛ, группа компаний",Не указана,https://hh.ru/vacancy/131478341,От 1 года до 3 лет,Москва
PHP программист (Yii2),Геномед,120000 - 150000 RUR,https://hh.ru/vacancy/131467736,От 1 года до 3 лет,Москва
Старший аналитик (Большие данные),Альфа-Деньги,Не указана,https://hh.ru/vacancy/131493418,От 3 до 6 лет,Москва
Экономист-аналитик,Единый Визовый Центр,80000 - 120000 RUR,https://hh.ru/vacancy/131509203,От 1 года до 3 лет,Москва
